Text,Entities
"""Laboratory tests indicated moderate hyperlipidemia and increased LDL cholesterol levels.""","""moderate hyperlipidemia"" : (Finding); ""moderate"" : (Severity Qualifier); ""increased LDL cholesterol levels"" : (Finding); ""increased"" : (Severity Qualifier); ""LDL cholesterol"" : (Substance)"
"""Blood tests showed significant leukocytosis and high CRP levels.""","""significant leukocytosis"" : (Finding); ""significant"" : (Severity Qualifier); ""high CRP levels"" : (Finding); ""high"" : (Severity Qualifier); ""CRP"" : (Substance)"
"""Clinical examination revealed mild anemia and elevated creatinine levels.""","""mild anemia"" : (Finding); ""mild"" : (Severity Qualifier); ""elevated creatinine levels"" : (Finding); ""elevated"" : (Severity Qualifier); ""creatinine"" : (Substance)"
"""Laboratory tests indicated moderate hyperlipidemia and increased creatinine levels.""",hyperlipidemia : (Finding); moderate : (Severity Qualifier); creatinine : (Substance); increased : (Severity Qualifier)
"""Blood analysis revealed severe hyponatremia and high bilirubin levels.""",hyponatremia : (Finding); severe : (Severity Qualifier); bilirubin : (Substance); high : (Severity Qualifier)
"""Test results showed mild anemia and reduced platelet count.""",anemia : (Finding); mild : (Severity Qualifier); platelet : (Substance); reduced : (Severity Qualifier)
"""Laboratory tests indicated mild hyperlipidemia and normal liver function; triglycerides were noted as elevated and cholesterol levels within the normal range.""",mild hyperlipidemia : (Finding); mild : (Severity Qualifier); elevated : (Severity Qualifier); triglycerides : (Substance)
"""Clinical evaluation showed severe hypoglycemia and abnormal lipid profile, with high cholesterol and low-density lipoprotein levels.""",severe hypoglycemia : (Finding); severe : (Severity Qualifier); high : (Severity Qualifier); cholesterol : (Substance); low-density lipoprotein : (Substance)
"""Blood tests revealed mild anemia and elevated creatinine levels, while electrolytes remained stable.""",mild anemia : (Finding); mild : (Severity Qualifier); elevated : (Severity Qualifier); creatinine : (Substance)
"Elevated triglycerides and lipase levels were noted, with ""elevated triglycerides"" being a (Finding) and ""elevated"" a (Severity Qualifier); ""lipase levels"" is a (Finding) and ""lipase"" a (Substance).",elevated triglycerides : (Finding); elevated : (Severity Qualifier); lipase levels : (Finding); lipase : (Substance)
"Laboratory tests indicated macrocytic and hypochromic anaemia, where ""macrocytic anaemia"" is a (Finding) and ""macrocytic"" a (Severity Qualifier); ""hypochromic anaemia"" is a (Finding) and ""hypochromic"" a (Severity Qualifier).",macrocytic anaemia : (Finding); macrocytic : (Severity Qualifier); hypochromic anaemia : (Finding); hypochromic : (Severity Qualifier)
"The results showed mild hyperglycaemia and increased liver enzymes, with ""mild hyperglycaemia"" as a (Finding) and ""mild"" a (Severity Qualifier); ""increased liver enzymes"" is a (Finding) and ""increased"" a (Severity Qualifier).",mild hyperglycaemia : (Finding); mild : (Severity Qualifier); increased liver enzymes : (Finding); increased : (Severity Qualifier)
"""Laboratory tests indicated moderate hyperlipidemia and high cholesterol levels.""",moderate hyperlipidemia : (Finding); moderate : (Severity Qualifier); high cholesterol levels : (Finding); high : (Severity Qualifier); cholesterol : (Substance)
